iter	MultiClass
0	1.078907743
1	1.063098118
2	1.048199976
3	1.03546295
4	1.024407177
5	1.014387627
6	1.004841721
7	0.9961299996
8	0.9881516221
9	0.9803523603
10	0.973219185
11	0.9670983331
12	0.9610924493
13	0.9554781145
14	0.9500991356
15	0.9451362274
16	0.9400716783
17	0.9356622873
18	0.9310642741
19	0.9267133445
20	0.9228872346
21	0.9181818053
22	0.9136495388
23	0.9096464455
24	0.9059027857
25	0.902207814
26	0.8989908395
27	0.895853472
28	0.8927509325
29	0.889672826
30	0.8860292079
31	0.8827425774
32	0.8797226657
33	0.876777652
34	0.8740634631
35	0.87154225
36	0.8688382784
37	0.866529854
38	0.8639252135
39	0.8610573192
40	0.8586008755
41	0.8563545552
42	0.8543218233
43	0.8521168168
44	0.8497460218
45	0.8477214637
46	0.8455471984
47	0.8431495715
48	0.8411224369
49	0.839086773
50	0.8371228975
51	0.8352829637
52	0.8334366329
53	0.8316963854
54	0.8296740486
55	0.8278599692
56	0.8258625984
57	0.8241289256
58	0.8224304363
59	0.8204726024
60	0.8187288899
61	0.8166501352
62	0.8148550691
63	0.8132880735
64	0.8116747885
65	0.8100906453
66	0.8086355081
67	0.8068670962
68	0.8052443045
69	0.8035462595
70	0.8022007595
71	0.8005552231
72	0.7988020928
73	0.7974104813
74	0.7957535724
75	0.7943215354
76	0.7927527628
77	0.7915868228
78	0.7901635817
79	0.7888519325
80	0.7874031034
81	0.7861721273
82	0.7848561246
83	0.7836564227
84	0.7822831137
85	0.7810149107
86	0.7796878021
87	0.7784732627
88	0.7771038629
89	0.7757947903
90	0.774800414
91	0.7736340297
92	0.7723428153
93	0.7709703059
94	0.7698725116
95	0.7686519306
96	0.7675079358
97	0.7661356929
98	0.7650563788
99	0.7639767093
100	0.762885845
101	0.7617884061
102	0.7608761244
103	0.7595526586
104	0.7585039967
105	0.7574929171
106	0.7563110735
107	0.7552755609
108	0.7541747458
109	0.753141721
110	0.7523297477
111	0.7512747777
112	0.7501692537
113	0.749361545
114	0.7483416696
115	0.7472758602
116	0.7460517253
117	0.7450068839
118	0.7439330783
119	0.7429071612
120	0.7419373511
121	0.7410658502
122	0.7400529493
123	0.7388866983
124	0.7381070653
125	0.7371060699
126	0.7359663842
127	0.734817414
128	0.7340623916
129	0.7331966214
130	0.7321463603
131	0.7311540718
132	0.7302493866
133	0.7293335511
134	0.7282244287
135	0.7273130356
136	0.7262746799
137	0.7254109976
138	0.7244441195
139	0.7235574702
140	0.7225168934
141	0.7214400225
142	0.7205806049
143	0.7195292776
144	0.7189296043
145	0.7179972433
146	0.7169248148
147	0.7159951635
148	0.7150389914
149	0.7140997891
150	0.7130947956
151	0.7123636286
152	0.7116102055
153	0.7105583007
154	0.7097350883
155	0.7088599891
156	0.7081634281
157	0.7075679751
158	0.7066297945
159	0.7056258671
160	0.7048381047
161	0.7038663399
162	0.7027071078
163	0.7016989158
164	0.70094878
165	0.7000957149
166	0.6991823227
167	0.6981879019
168	0.6974630432
169	0.6966144204
170	0.6958087553
171	0.69495147
172	0.6940698405
173	0.6931794153
174	0.6923327028
175	0.691514288
176	0.6908196373
177	0.690090425
178	0.6893056833
179	0.6885222743
180	0.6879958999
181	0.6872498511
182	0.6863522292
183	0.6856039592
184	0.6847569358
185	0.6838735738
186	0.6832353854
187	0.6824429584
188	0.6815555984
189	0.6806691268
190	0.6800554157
191	0.6792262949
192	0.6783877119
193	0.6776717822
194	0.6768910831
195	0.6761161146
196	0.6752015673
197	0.6746215293
198	0.6738829881
199	0.6731804299
200	0.6725260713
201	0.6717537682
202	0.6709550775
203	0.6701246684
204	0.6693942123
205	0.6687533584
206	0.6679514692
207	0.6671689932
208	0.6662163749
209	0.6653299034
210	0.6646007799
211	0.6639408684
212	0.6631415558
213	0.6621641492
214	0.6614064615
215	0.6606122576
216	0.6598950841
217	0.6592425468
218	0.65867628
219	0.6579548419
220	0.6573777802
221	0.6566409715
222	0.655843658
223	0.6549831741
224	0.6542503636
225	0.6536542886
226	0.6528603513
227	0.6523406404
228	0.6517629567
229	0.65132885
230	0.6506532125
231	0.6498320435
232	0.6490671591
233	0.6483662447
234	0.6476710608
235	0.6469323419
236	0.6461838054
237	0.6455951492
238	0.6450098691
239	0.6443712809
240	0.6435517111
241	0.6428472872
242	0.6420572147
243	0.6413409296
244	0.6407429445
245	0.6398477659
246	0.6391341463
247	0.6385046204
248	0.6379168082
249	0.6371364645
250	0.6364486994
251	0.6357239294
252	0.6352238093
253	0.6344949968
254	0.6338379728
255	0.6331993401
