iter	Passed	Remaining
0	79	79489
1	96	48204
2	114	38034
3	131	32718
4	148	29624
5	166	27606
6	183	25975
7	200	24844
8	216	23887
9	232	22990
10	245	22054
11	258	21274
12	271	20632
13	284	20022
14	297	19510
15	309	19064
16	322	18675
17	335	18312
18	348	18004
19	360	17670
20	373	17411
21	386	17191
22	399	16967
23	411	16748
24	425	16584
25	437	16398
26	450	16226
27	462	16053
28	475	15921
29	487	15769
30	500	15653
31	513	15540
32	527	15444
33	539	15334
34	552	15225
35	565	15151
36	578	15068
37	591	14979
38	604	14895
39	617	14823
40	630	14741
41	642	14659
42	655	14581
43	668	14514
44	680	14446
45	694	14395
46	706	14323
47	719	14275
48	732	14223
49	745	14172
50	758	14119
51	772	14081
52	785	14032
53	797	13978
54	810	13928
55	824	13891
56	837	13851
57	850	13811
58	863	13771
59	876	13730
60	889	13692
61	902	13659
62	916	13624
63	928	13578
64	941	13536
65	953	13498
66	966	13452
67	978	13416
68	991	13375
69	1004	13344
70	1016	13303
71	1029	13264
72	1041	13231
73	1054	13194
74	1067	13165
75	1080	13132
76	1092	13098
77	1105	13062
78	1117	13032
79	1129	12994
80	1142	12959
81	1154	12926
82	1167	12894
83	1179	12859
84	1191	12828
85	1204	12798
86	1217	12773
87	1230	12750
88	1244	12737
89	1257	12710
90	1270	12691
91	1283	12663
92	1297	12649
93	1309	12624
94	1322	12602
95	1335	12576
96	1348	12549
97	1361	12531
98	1374	12507
99	1387	12483
100	1399	12457
101	1412	12434
102	1424	12403
103	1437	12384
104	1449	12354
105	1461	12329
106	1474	12303
107	1486	12279
108	1499	12255
109	1512	12233
110	1524	12209
111	1537	12188
112	1549	12165
113	1562	12141
114	1574	12116
115	1586	12092
116	1599	12071
117	1612	12049
118	1624	12028
119	1637	12008
120	1650	11986
121	1662	11964
122	1676	11952
123	1689	11934
124	1701	11911
125	1713	11888
126	1726	11869
127	1739	11851
128	1752	11830
129	1764	11810
130	1778	11795
131	1790	11775
132	1803	11753
133	1815	11734
134	1828	11716
135	1841	11696
136	1853	11678
137	1866	11661
138	1879	11645
139	1891	11621
140	1904	11603
141	1917	11584
142	1929	11564
143	1942	11544
144	1953	11520
145	1966	11500
146	1979	11484
147	1991	11467
148	2004	11450
149	2017	11432
150	2030	11414
151	2042	11396
152	2055	11376
153	2068	11361
154	2081	11346
155	2093	11327
156	2106	11310
157	2118	11291
158	2131	11276
159	2144	11259
160	2157	11240
161	2170	11225
162	2183	11211
163	2196	11195
164	2208	11176
165	2221	11161
166	2234	11143
167	2246	11127
168	2258	11107
169	2271	11090
170	2284	11072
171	2296	11053
172	2309	11037
173	2321	11021
174	2334	11006
175	2347	10988
176	2358	10968
177	2370	10948
178	2383	10930
179	2395	10912
180	2407	10895
181	2420	10879
182	2433	10863
183	2445	10844
184	2457	10828
185	2470	10811
186	2482	10793
187	2495	10778
188	2508	10762
189	2520	10747
190	2533	10730
191	2545	10714
192	2558	10699
193	2571	10684
194	2584	10667
195	2596	10652
196	2610	10639
197	2622	10621
198	2634	10605
199	2647	10588
200	2659	10572
201	2672	10557
202	2684	10541
203	2697	10526
204	2710	10510
205	2722	10494
206	2735	10477
207	2747	10460
208	2760	10446
209	2773	10434
210	2786	10419
211	2798	10402
212	2811	10389
213	2824	10374
214	2836	10357
215	2849	10343
216	2863	10331
217	2875	10316
218	2888	10299
219	2901	10285
220	2913	10268
221	2925	10252
222	2937	10236
223	2951	10223
224	2963	10208
225	2976	10192
226	2989	10179
227	3001	10162
228	3014	10148
229	3025	10130
230	3038	10115
231	3051	10099
232	3063	10084
233	3075	10068
234	3088	10053
235	3100	10038
236	3113	10023
237	3125	10008
238	3138	9994
239	3151	9979
240	3163	9964
241	3177	9951
242	3189	9936
243	3202	9921
244	3213	9904
245	3226	9890
246	3239	9875
247	3251	9860
248	3264	9845
249	3276	9830
250	3289	9815
251	3302	9801
252	3314	9785
253	3327	9773
254	3340	9758
255	3352	9743
256	3365	9728
257	3378	9715
258	3390	9700
259	3402	9684
260	3415	9669
261	3427	9654
262	3440	9640
263	3452	9625
264	3466	9615
265	3478	9599
266	3491	9585
267	3504	9570
268	3516	9556
269	3528	9540
270	3540	9525
271	3553	9511
272	3566	9497
273	3579	9483
274	3591	9469
275	3604	9454
276	3616	9439
277	3629	9426
278	3642	9411
279	3653	9395
280	3666	9380
281	3678	9366
282	3691	9351
283	3703	9337
284	3716	9324
285	3729	9311
286	3742	9297
287	3755	9284
288	3768	9270
289	3780	9255
290	3793	9241
291	3805	9226
292	3817	9211
293	3830	9198
294	3843	9184
295	3855	9170
296	3867	9155
297	3880	9141
298	3893	9127
299	3905	9113
300	3918	9099
301	3930	9085
302	3943	9070
303	3955	9056
304	3968	9042
305	3980	9028
306	3993	9014
307	4005	8999
308	4018	8986
309	4030	8971
310	4043	8958
311	4056	8944
312	4068	8930
313	4081	8917
314	4095	8906
315	4108	8893
316	4121	8879
317	4134	8866
318	4147	8853
319	4160	8840
320	4173	8827
321	4186	8814
322	4199	8802
323	4212	8789
324	4224	8774
325	4238	8762
326	4250	8748
327	4263	8734
328	4276	8721
329	4289	8709
330	4300	8692
331	4313	8679
332	4325	8664
333	4338	8650
334	4350	8636
335	4363	8623
336	4376	8609
337	4388	8595
338	4401	8581
339	4413	8566
340	4424	8551
341	4438	8539
342	4450	8525
343	4463	8511
344	4476	8498
345	4488	8484
346	4501	8471
347	4514	8458
348	4526	8443
349	4539	8431
350	4553	8418
351	4565	8404
352	4577	8390
353	4589	8375
354	4602	8362
355	4614	8348
356	4627	8335
357	4640	8321
358	4653	8308
359	4666	8295
360	4678	8281
361	4691	8269
362	4704	8256
363	4717	8243
364	4730	8229
365	4743	8217
366	4756	8204
367	4769	8191
368	4782	8177
369	4794	8163
370	4807	8150
371	4820	8138
372	4833	8125
373	4846	8111
374	4858	8097
375	4872	8085
376	4884	8071
377	4897	8058
378	4910	8045
379	4923	8032
380	4936	8019
381	4949	8007
382	4961	7993
383	4974	7979
384	4987	7966
385	4999	7952
386	5012	7939
387	5024	7925
388	5037	7912
389	5049	7897
390	5062	7884
391	5074	7871
392	5087	7857
393	5100	7844
394	5112	7831
395	5125	7817
396	5138	7805
397	5151	7792
398	5164	7779
399	5177	7766
400	5189	7752
401	5202	7739
402	5215	7726
403	5228	7712
404	5241	7700
405	5254	7687
406	5267	7674
407	5280	7661
408	5292	7647
409	5304	7633
410	5318	7621
411	5330	7608
412	5343	7594
413	5355	7581
414	5368	7567
415	5380	7554
416	5393	7540
417	5407	7528
418	5419	7515
419	5432	7502
420	5445	7489
421	5458	7476
422	5470	7462
423	5484	7450
424	5496	7436
425	5509	7423
426	5522	7410
427	5534	7397
428	5548	7384
429	5561	7371
430	5573	7357
431	5586	7344
432	5599	7332
433	5612	7319
434	5625	7306
